Sample,Root_biomass,Stem_biomass,Leaf_biomass,Total_biomass,Root_N_concentration,Stem_N_concentration,Leaf_N_concentration,Total_N
B_1,52,125,44,221,75.92,106.25,122.76,304.93
B_2,50,126,50,226,79.5,108.36,129,316.86
B_3,58,119,42,219,100.17,84.15,108.81,293.13
B_4,64,132,76,272,123.52,96.36,283.8,503.68
B_5,73,120,60,253,168.33,91.2,193.8,453.33
B_6,77,122,68,267,194.74,80.58,194.3,469.62
L_10,52,125,44,221,75.92,106.25,122.76,304.93
L_11,50,126,50,226,79.5,108.36,129,316.86
L_12,58,119,42,219,100.17,84.15,108.81,293.13
L_13,64,132,76,272,123.52,96.36,283.8,503.68
L_14,73,120,60,253,168.33,91.2,193.8,453.33
L_15,77,122,68,267,194.74,80.58,194.3,469.62
L1,52,125,44,221,75.92,106.25,122.76,304.93
L2,50,126,50,226,79.5,108.36,129,316.86
L3,58,119,42,219,100.17,84.15,108.81,293.13
L4,64,132,76,272,123.52,96.36,283.8,503.68
L5,73,120,60,253,168.33,91.2,193.8,453.33
L6,77,122,68,267,194.74,80.58,194.3,469.62
R_10,52,125,44,221,75.92,106.25,122.76,304.93
R_11,50,126,50,226,79.5,108.36,129,316.86
R_12,58,119,42,219,100.17,84.15,108.81,293.13
R_13,64,132,76,272,123.52,96.36,283.8,503.68
R_14,73,120,60,253,168.33,91.2,193.8,453.33
R_15,77,122,68,267,194.74,80.58,194.3,469.62
R1,52,125,44,221,75.92,106.25,122.76,304.93
R2,50,126,50,226,79.5,108.36,129,316.86
R3,58,119,42,219,100.17,84.15,108.81,293.13
R4,64,132,76,272,123.52,96.36,283.8,503.68
R5,73,120,60,253,168.33,91.2,193.8,453.33
R6,77,122,68,267,194.74,80.58,194.3,469.62
RH_1,52,125,44,221,75.92,106.25,122.76,304.93
RH_2,50,126,50,226,79.5,108.36,129,316.86
RH_3,58,119,42,219,100.17,84.15,108.81,293.13
RH_4,64,132,76,272,123.52,96.36,283.8,503.68
RH_5,73,120,60,253,168.33,91.2,193.8,453.33
RH_6,77,122,68,267,194.74,80.58,194.3,469.62
S_10,52,125,44,221,75.92,106.25,122.76,304.93
S_11,50,126,50,226,79.5,108.36,129,316.86
S_12,58,119,42,219,100.17,84.15,108.81,293.13
S_13,64,132,76,272,123.52,96.36,283.8,503.68
S_14,73,120,60,253,168.33,91.2,193.8,453.33
S_15,77,122,68,267,194.74,80.58,194.3,469.62
S1,52,125,44,221,75.92,106.25,122.76,304.93
S2,50,126,50,226,79.5,108.36,129,316.86
S3,58,119,42,219,100.17,84.15,108.81,293.13
S4,64,132,76,272,123.52,96.36,283.8,503.68
S5,73,120,60,253,168.33,91.2,193.8,453.33
S6,77,122,68,267,194.74,80.58,194.3,469.62
