Genus,Stem_ep_MM,Stem_ep_IM,Stem_en_MM,Stem_en_IM,phylloplane_MM,phylloplane_IM,Leaf_en_MM,Leaf_en_IM
Papiliotrema,0.952282762,0.057584817,0.069479745,0.475797073,0.02176868,0.076917644,0.713504571,0.003473657
Hannaella,0.012966377,0.142320941,0.489846465,0.423054559,0.117891704,0.155657579,0.072144769,0.557205578
Cladosporium,0.007859881,0.459021188,0.067301209,0.038060859,0.162524599,0.080336206,0.018576047,0.112293388
Sporidiobolus,0.001904323,0.083582478,0.011943047,0.024881287,0.038100262,0.275363752,0.008246199,0.00933626
Sporobolomyces,0.003893552,0.05199532,0.062295762,0.007546758,0.031202451,0.18252578,0.005632166,0.01133781
Alternaria,0.006695454,0.043302353,0.025675606,0.007025875,0.040555071,0.112953807,0.008612416,0.04571281
Fusarium,0.00305662,0.01122774,0.021564915,0.003307006,0.010711895,0.011329284,0.128213871,0.100813533
Epicoccum,0.003020232,0.017970883,0.10415478,0.00382789,0.06364245,0.024367849,0.02069758,0.037706612
Saitozyma,0.000630731,0.010480307,0.005277763,0.000823723,0.180682072,0.002754626,0.001805829,0.0171875
Sarocladium,0,0.016216041,0.104089942,3.63407E-05,0.003124303,0.000155389,0,0.010808368
Gibberella,0.000667119,0.027573768,0.003280772,0.010005815,0.017812582,0.008998446,0.001288074,0.063481405
Symmetrospora,0.000206201,0.00367217,0.001828414,0.000218044,0.083362074,0.007825964,0.002260444,0.00628874
Didymella,0.001382757,0.012007669,0.015742518,0.002386375,0.044450305,0.014592457,0.003093903,0.005100723
Agrocybe,0,0.018864552,0.00303439,2.42272E-05,0.046032744,0.012275745,0.000227307,0.002195248
Bulleromyces,0.002231818,0.004500845,0.003643861,0.001550538,0.015722951,0.00772708,0.0100394,0.003693182
Plectosphaerella,0.000485178,0.006044456,0.00442191,0.000145363,0.023209105,0.007755333,0.002273072,0.003305785
Cercospora,0.000254718,0.002421032,0.002567561,2.42272E-05,0.033454383,0.004845317,0.000883972,0.001252583
Stagonosporopsis,0.002110524,0.004143377,0.000959593,0.001235585,0.024426366,0.003051278,0.001629035,0.007554236
Leptospora,0.000230459,0.004630833,0.002022927,0,0.030167779,0.004689928,0.000795575,0.001045971
Tausonia,0.000121294,0.02243923,0.000868821,4.84543E-05,0.011158224,0.005876536,7.57691E-05,0.000206612
