Genus,Bulk_soil_MM,Bulk_soil_IM,Rhizosphere_soil_MM,Rhizosphere_soil_IM,Rhizoplane_MM,Rhizoplane_IM,Root_en_MM,Root_en_IM
Tausonia,0.745776854,0.77446814,0.538288045,0.565557701,0.296886234,0.433470608,0.061233094,0.113678568
Exophiala,0.005070343,0.004314658,0.012327561,0.013869382,0.04291798,0.021921353,0.193429118,0.517583995
Holtermanniella,0.0224122,0.01932499,0.142755627,0.114085908,0.07081098,0.04371515,0.008416307,0.01445391
Agrocybe,2.56726E-05,0.00048085,0.001313086,0.00390625,0.081061151,0.067367615,0.222488892,0.000842347
Penicillium,0.003055042,0.002352268,0.004773454,0.005032772,0.153697251,0.123455665,0.055946551,0.01472193
Solicoccozyma,0.051024338,0.050437314,0.097446434,0.086098432,0.037516362,0.028809359,0.003405442,0.006413324
Setophoma,0.00048778,0.000363887,0.001436671,0.00194581,0.025109231,0.004063559,0.181850615,0.082952044
Talaromyces,0.01903625,0.009915916,0.017131911,0.058227996,0.071456225,0.025711578,0.059173613,0.0099933
Leuconeurospora,0.038329226,0.026875642,0.057976612,0.02441772,0.009033424,0.072980065,0.001232446,0.001550684
Mortierella,0.059971247,0.074752752,0.017023775,0.025705173,0.010840108,0.005102227,0.010119028,0.008634058
Didymella,0.003273259,0.005380327,0.009639596,0.023773993,0.056339067,0.063650279,0.023708364,0.00702594
Trichoderma,0.005365578,0.006887858,0.014134985,0.015844452,0.043895065,0.018896461,0.04772484,0.025442711
Drechslera,8.98542E-05,3.89879E-05,0.000571579,0.000380384,0.006083734,0.00887423,0.051065417,0.059213171
Fusarium,0.004377182,0.002898099,0.006287365,0.008529377,0.009733975,0.003535114,0.045227516,0.031319996
Cladophialophora,0.012964674,0.008512353,0.020128837,0.019692182,0.02490644,0.012919567,0.003178413,0.005590122
Ceratobasidium,0,0,0.002224522,0.001360604,0.000221227,0.004373337,0,0.08752752
Psilocybe,0,7.79757E-05,0.016961982,0.000321863,0.000977085,0.039943147,0.023562417,0.002048435
Echria,0.000937051,0.001442551,0.013470718,0.009509597,0.032280663,0.004027115,0.005513573,0.00715995
Naganishia,0.004377182,0.003145022,0.021766332,0.016941713,0.012185904,0.006505339,0.001621639,0.002086723
Pseudogymnoascus,0.023426268,0.008330409,0.004340908,0.004798689,0.014047896,0.010678232,0.001102715,0.001761271
